"R2m","R2c","p","n_0","n_1","n_all","phase","current_variable","current_answer_binary","propPred"
0,0.151,0.86,498,2384,2882,"detect01","avrec_rms.4bin.before.rt","hit_0_miss_1",0.827550312283137
0.015,0.15,0.007,381,2200,2581,"detect01","GS1.trace.rms.4bin.before.rt","hit_0_miss_1",0.850058117008911
0.007,0.172,0.161,250,1458,1708,"detect01","SGS1.trace.rms.4bin.before.rt","hit_0_miss_1",0.853044496487119
0.027,0.175,0.006,392,2200,2592,"detect01","Va.trace.rms.4bin.before.rt","hit_0_miss_1",0.847222222222222
0.021,0.183,0.055,355,2164,2519,"detect01","Vb.trace.rms.4bin.before.rt","hit_0_miss_1",0.85986502580389
0.007,0.144,0.159,315,1919,2234,"detect01","VI.trace.rms.4bin.before.rt","hit_0_miss_1",0.85810205908684
0.135,0.239,0,410,1316,1726,"discr01","avrec_rms.4bin.before.rt","hit_0_miss_1",0.769409038238702
0.001,0.025,0.455,304,1185,1489,"discr01","GS1.trace.rms.4bin.before.rt","hit_0_miss_1",0.795836131631968
0.007,0.048,0.283,138,673,811,"discr01","SGS1.trace.rms.4bin.before.rt","hit_0_miss_1",0.829839704069051
0.004,0.045,0.221,336,1233,1569,"discr01","Va.trace.rms.4bin.before.rt","hit_0_miss_1",0.78585086042065
0.003,0.103,0.543,353,1236,1589,"discr01","Vb.trace.rms.4bin.before.rt","hit_0_miss_1",0.777218376337319
0.007,0.13,0.475,301,1075,1376,"discr01","VI.trace.rms.4bin.before.rt","hit_0_miss_1",0.78125
0.033,0.081,0.006,75,2610,2685,"discr01","avrec_rms.4bin.before.rt","false_alarm_below_6_0_cr_1",0.972067039106145
0.035,0.136,0,60,2447,2507,"discr01","GS1.trace.rms.4bin.before.rt","false_alarm_below_6_0_cr_1",0.976067012365377
0.045,0.256,0.007,35,1340,1375,"discr01","SGS1.trace.rms.4bin.before.rt","false_alarm_below_6_0_cr_1",0.973818181818182
0.028,0.103,0.019,67,2504,2571,"discr01","Va.trace.rms.4bin.before.rt","false_alarm_below_6_0_cr_1",0.973940101127966
0.055,0.126,0,67,2519,2586,"discr01","Vb.trace.rms.4bin.before.rt","false_alarm_below_6_0_cr_1",0.973704563031709
0.023,0.068,0.029,52,2153,2205,"discr01","VI.trace.rms.4bin.before.rt","false_alarm_below_6_0_cr_1",0.976417233560091
0.008,0.054,0.185,410,2610,3020,"discr01","avrec_rms.4bin.before.rt","hit_0_cr_1",0.864238410596026
0.072,0.151,0.001,304,2447,2751,"discr01","GS1.trace.rms.4bin.before.rt","hit_0_cr_1",0.889131225009088
0.041,0.077,0.003,138,1340,1478,"discr01","SGS1.trace.rms.4bin.before.rt","hit_0_cr_1",0.906630581867388
0.034,0.07,0.001,336,2504,2840,"discr01","Va.trace.rms.4bin.before.rt","hit_0_cr_1",0.88169014084507
0.063,0.107,0,353,2519,2872,"discr01","Vb.trace.rms.4bin.before.rt","hit_0_cr_1",0.876740947075209
0.023,0.058,0.005,301,2153,2454,"discr01","VI.trace.rms.4bin.before.rt","hit_0_cr_1",0.877750611246944
0.021,0.12,0.267,75,1316,1391,"discr01","avrec_rms.4bin.before.rt","false_alarm_below_6_0_miss_1",0.94608195542775
0,0.066,0.816,60,1185,1245,"discr01","GS1.trace.rms.4bin.before.rt","false_alarm_below_6_0_miss_1",0.951807228915663
0.001,0.092,0.761,35,673,708,"discr01","SGS1.trace.rms.4bin.before.rt","false_alarm_below_6_0_miss_1",0.950564971751412
0.003,0.118,0.572,67,1233,1300,"discr01","Va.trace.rms.4bin.before.rt","false_alarm_below_6_0_miss_1",0.948461538461538
0.003,0.076,0.427,67,1236,1303,"discr01","Vb.trace.rms.4bin.before.rt","false_alarm_below_6_0_miss_1",0.948580199539524
0.004,0.089,0.655,52,1075,1127,"discr01","VI.trace.rms.4bin.before.rt","false_alarm_below_6_0_miss_1",0.953859804791482
