".y.","group1","group2","p","p.adj","p.format","p.signif","method","y.position","stim"
"measurement","hit","false_alarm",0.0912889494119133,0.365155797647653,"0.0913","ns.","T-test",2,"avrec_rms.stim.1"
"measurement","hit","correct_rejection",0.00612855995733066,0.055157039615976,"0.0061","ns.","T-test",2.25,"avrec_rms.stim.1"
"measurement","hit","miss",0.0274151886422065,0.191906320495445,"0.0274","ns.","T-test",2.5,"avrec_rms.stim.1"
"measurement","false_alarm","correct_rejection",0.00468229295457992,0.0529834676923406,"0.0047","ns.","T-test",2.75,"avrec_rms.stim.1"
"measurement","false_alarm","miss",0.0383006043464354,0.229803626078612,"0.0383","ns.","T-test",3,"avrec_rms.stim.1"
"measurement","correct_rejection","miss",0.0542654352740746,0.271327176370373,"0.0543","ns.","T-test",3.25,"avrec_rms.stim.1"
"measurement","hit","false_alarm",0.00441528897436171,0.0529834676923406,"0.00442","ns.","T-test",2,"avrec_rms.stim.2"
"measurement","hit","correct_rejection",0.00000786474741026258,0.000188753937846302,"0.0000079","***","T-test",2.25,"avrec_rms.stim.2"
"measurement","hit","miss",0.000323140062565614,0.00549338106361543,"0.00032","**","T-test",2.5,"avrec_rms.stim.2"
"measurement","false_alarm","correct_rejection",0.00523348607084991,0.0529834676923406,"0.00523","ns.","T-test",2.75,"avrec_rms.stim.2"
"measurement","false_alarm","miss",0.708381489220206,1,"0.70838","ns.","T-test",3,"avrec_rms.stim.2"
"measurement","correct_rejection","miss",0.0000131092681792938,0.000288403899944464,"0.0000131","***","T-test",3.25,"avrec_rms.stim.2"
"measurement","hit","false_alarm",0.00855654968771751,0.0684523975017401,"0.00856","ns.","T-test",2,"avrec_rms.stim.3"
"measurement","hit","correct_rejection",0.0000113624559803503,0.000261336487548058,"0.000011","***","T-test",2.25,"avrec_rms.stim.3"
"measurement","hit","miss",0.00132841443048653,0.0212546308877845,"0.00133","*","T-test",2.5,"avrec_rms.stim.3"
"measurement","false_alarm","correct_rejection",0.00356337507105093,0.0463238759236621,"0.00356","*","T-test",2.75,"avrec_rms.stim.3"
"measurement","false_alarm","miss",0.306925577079876,0.920776731239629,"0.30693","ns.","T-test",3,"avrec_rms.stim.3"
"measurement","correct_rejection","miss",0.00013175057310835,0.00250326088905866,"0.00013","**","T-test",3.25,"avrec_rms.stim.3"
"measurement","hit","false_alarm",0.000169495789479041,0.00305092421062273,"0.00017","**","T-test",2,"avrec_rms.stim.4"
"measurement","hit","correct_rejection",0.0000753247465168976,0.00150649493033795,"0.000075","**","T-test",2.25,"avrec_rms.stim.4"
"measurement","hit","miss",0.00152959290985414,0.022943893647812,"0.00153","*","T-test",2.5,"avrec_rms.stim.4"
"measurement","false_alarm","correct_rejection",0.00217578965889557,0.030461055224538,"0.00218","*","T-test",2.75,"avrec_rms.stim.4"
"measurement","false_alarm","miss",0.608493025449106,1,"0.60849","ns.","T-test",3,"avrec_rms.stim.4"
"measurement","correct_rejection","miss",0.0000227091119454005,0.000476891350853411,"0.000023","***","T-test",3.25,"avrec_rms.stim.4"
