"R2m","R2c","p","n_0","n_1","n_all","phase","current_variable","current_answer_binary"
0,0,0.663,2147,2162,4309,"detect01","avrec_rms","frequency_4khz_0_1khz_1"
0,0,0.649,2147,2162,4309,"detect01","GS1.trace.rms","frequency_4khz_0_1khz_1"
0,0,0.754,1482,1490,2972,"detect01","SGS1.trace.rms","frequency_4khz_0_1khz_1"
0,0,0.703,2146,2162,4308,"detect01","Va.trace.rms","frequency_4khz_0_1khz_1"
0,0,0.836,2117,2132,4249,"detect01","Vb.trace.rms","frequency_4khz_0_1khz_1"
0,0,0.754,2056,2072,4128,"detect01","VI.trace.rms","frequency_4khz_0_1khz_1"
0.167,0.305,0,3233,3245,6478,"discr01","avrec_rms","frequency_4khz_0_1khz_1"
0.121,0.219,0,1482,1490,2972,"discr01","GS1.trace.rms","frequency_4khz_0_1khz_1"
0.065,0.08,0,1482,1490,2972,"discr01","SGS1.trace.rms","frequency_4khz_0_1khz_1"
0.095,0.175,0,1482,1490,2972,"discr01","Va.trace.rms","frequency_4khz_0_1khz_1"
0.076,0.118,0,1482,1490,2972,"discr01","Vb.trace.rms","frequency_4khz_0_1khz_1"
0.034,0.058,0.001,1482,1490,2972,"discr01","VI.trace.rms","frequency_4khz_0_1khz_1"
